rank,player_id,player,goalkeeper_saves,goalkeeper_actions_inside_the_penalty_area,goalkeeper_actions_outside_the_penalty_area,image_url
57,23,Lukas Hornicek,0,0,0,https://digitalhub.fifa.com/transform/d76a995c-dcd7-4219-a555-3336ac87b052/HORNICEK-Lukas_511118?&io=transform:fill
57,724,Michael Woud,0,0,0,https://digitalhub.fifa.com/transform/a9766a27-9d3c-4856-8462-396d87ee2335/WOUD-Michael_390218?&io=transform:fill
57,584,Viktor Johansson,0,0,0,https://digitalhub.fifa.com/transform/c311a4ac-f9ad-48d3-99dc-b9c53345d0f9/JOHANSSON-Viktor_483264?&io=transform:fill
57,1134,Botirali Ergashev,0,0,0,https://digitalhub.fifa.com/transform/b358c6ce-2f88-4210-8035-4c33186ac486/ERGASHEV-Botirali_385472?&io=transform:fill
57,203,Marvin Keller,0,0,0,https://digitalhub.fifa.com/transform/4c9ca839-ca31-4d4c-a620-3a5117c5efa8/KELLER-Marvin_484862?&io=transform:fill
57,793,Joan Garcia,0,0,0,https://digitalhub.fifa.com/transform/08439f96-c835-4b28-9fc5-7e90d4e82738/GARCIA-Joan_484691?&io=transform:fill
57,313,Mathew Ryan,0,0,0,https://digitalhub.fifa.com/transform/7c98d5eb-1514-4e8f-a6c6-60f4017b2175/RYAN-Mathew_339117?&io=transform:fill
57,781,David Raya,0,0,0,https://digitalhub.fifa.com/transform/2a0b3279-e7c5-44c9-8f13-897d085e83bf/RAYA-David_447853?&io=transform:fill
57,714,Alex Paulsen,0,0,0,https://digitalhub.fifa.com/transform/10106faa-f53a-4898-b03a-6688ff48cf53/PAULSEN-Alex_423574?&io=transform:fill
57,376,Altay Bayindir,0,0,0,https://digitalhub.fifa.com/transform/f8c86015-cce5-4965-9d7c-183ef908079a/BAYINDIR-Altay_441180?&io=transform:fill
57,365,Mert Gunok,0,0,0,https://digitalhub.fifa.com/transform/1ce10157-fad1-435e-b21d-b4f25a483bc1/GUNOK-Mert_360498?&io=transform:fill
57,298,Liam Kelly,0,0,0,https://digitalhub.fifa.com/transform/c1b8aa4f-e753-4748-915b-33661cc33845/KELLY-Liam_442429?&io=transform:fill
57,178,Meshaal Barsham,0,0,0,https://digitalhub.fifa.com/transform/b5f22cd1-218d-478b-b4a3-f3b2fb832c39/MESHAAL-BARSHAM_416056?&io=transform:fill
57,1036,Abdallah Alfakhori,0,0,0,https://digitalhub.fifa.com/transform/3f7678fc-eab6-4d7c-81a4-2341b7f3ab10/ABDALLAH-ALFAKHORI_431223?&io=transform:fill
57,1082,Timothy Fayulu,0,0,0,https://digitalhub.fifa.com/transform/deee3a8c-2aea-43fd-80d4-18dfdf1fad94/FAYULU-Timothy_486196?&io=transform:fill
57,536,Tomoki Hayakawa,0,0,0,https://digitalhub.fifa.com/transform/d81ad421-1126-4549-a89f-3fafd8db2a97/HAYAKAWA-Tomoki_511710?&io=transform:fill
57,90,Song Bumkeun,0,0,0,https://digitalhub.fifa.com/transform/a45e87b1-92c4-4d33-ac9b-1bca03075996/SONG-Bumkeun_402820?&io=transform:fill
57,688,Payam Niazmand,0,0,0,https://digitalhub.fifa.com/transform/5a4d3867-6d31-4e40-8718-312350b29fb4/NIAZMAND-Payam_448507?&io=transform:fill
57,698,Hossein Hosseini,0,0,0,https://digitalhub.fifa.com/transform/65922b90-e1f9-453b-aa7c-b436746fce3c/HOSSEINI-Hossein_314255?&io=transform:fill
57,99,Jo Hyeonwoo,0,0,0,https://digitalhub.fifa.com/transform/15bfe432-3e69-4900-b736-50ee6fd20cb5/JO-Hyeonwoo_397753?&io=transform:fill
57,532,Keisuke Osako,0,0,0,https://digitalhub.fifa.com/transform/4304491f-2404-4e52-a9c3-948c95a01f5a/OSAKO-Keisuke_403305?&io=transform:fill
57,937,Melvin Mastil,0,0,0,https://digitalhub.fifa.com/transform/6d85724d-c5a6-400d-acb9-df73451a4bf4/MASTIL-Melvin_520070?&io=transform:fill
57,740,Marcio Rosa,0,0,0,https://digitalhub.fifa.com/transform/fcc402a3-4dbd-4c2e-9856-c8a3104ce221/MARCIO-ROSA_407114?&io=transform:fill
57,776,Ahmed Alkassar,0,0,0,https://digitalhub.fifa.com/transform/1354d5cd-4cb5-4494-9033-efd38b3f1ac0/AHMED-ALKASSAR_339746?&io=transform:fill
57,859,Fahad Talib,0,0,0,https://digitalhub.fifa.com/transform/70d6d7cd-dcf4-4952-bee5-0f0b869aead7/FAHAD-TALIB_368744?&io=transform:fill
57,1087,Matthieu Epolo,0,0,0,https://digitalhub.fifa.com/transform/5b3aa99c-c19f-4087-9230-fcc1023e6baa/EPOLO-Matthieu_514171?&io=transform:fill
57,751,Cj Dos Santos,0,0,0,https://digitalhub.fifa.com/transform/ecf9ed76-fe11-4089-96d4-8126286db543/CJ-DOS-SANTOS_406281?&io=transform:fill
57,1026,Nour Baniateyah,0,0,0,https://digitalhub.fifa.com/transform/6c4042af-5cac-4b05-94b8-c57aa8f3083f/NOUR-BANIATEYAH_483127?&io=transform:fill
57,952,Oussama Benbot,0,14,13,https://digitalhub.fifa.com/transform/884914ab-5fde-4b43-a31a-99b35849afc8/BENBOT-Oussama_477817?&io=transform:fill
57,755,Nawaf Alaqidi,0,0,0,https://digitalhub.fifa.com/transform/6b95e954-e3fd-4ba9-a171-690c9626eced/NAWAF-ALAQIDI_419287?&io=transform:fill
